,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed (mph)
283,qingdao,94,CN,1572663019,56,36.09,120.35,75.0,4.47
284,tuatapere,0,NZ,1572662823,26,-46.13,167.69,79.12,6.64
285,port alfred,100,ZA,1572662814,90,-33.59,26.89,63.0,3.65
286,juneau,90,US,1572662815,93,58.3,-134.42,45.0,10.29
287,piranhas,100,BR,1572663020,87,-16.43,-51.82,70.59,0.36
288,mongar,0,BT,1572663020,57,27.28,91.24,53.37,2.55
289,avera,1,US,1572662958,100,33.19,-82.53,46.0,4.12
290,urucara,97,BR,1572663021,80,-2.54,-57.76,77.72,1.12
291,port hedland,2,AU,1572662933,11,-20.31,118.58,89.6,14.99
292,ubajara,100,BR,1572663021,82,-3.85,-40.92,69.03,4.54
293,baghdad,0,IQ,1572663022,71,33.3,44.38,57.2,3.36
294,araguaina,100,BR,1572663022,58,-7.19,-48.21,79.75,2.64
295,vila franca do campo,40,PT,1572663022,88,37.72,-25.43,66.2,4.7
296,muros,40,ES,1572663022,93,42.77,-9.06,62.01,6.93
297,lompoc,1,US,1572663022,87,34.64,-120.46,60.8,6.44
298,takoradi,83,GH,1572663023,82,4.89,-1.75,78.4,4.27
299,jiwani,0,PK,1572663023,78,25.05,61.74,78.78,5.48
300,itarema,55,BR,1572662898,86,-2.92,-39.92,75.06,5.21
301,karatuzskoye,100,RU,1572663023,73,53.61,92.87,44.83,3.62
302,goderich,84,CA,1572663024,80,43.74,-81.71,39.99,4.0
303,marawi,100,PH,1572663024,80,8.0,124.29,81.0,3.0
304,nongstoin,0,IN,1572663024,63,25.52,91.27,65.1,2.73
305,dunmore town,5,BS,1572663025,72,25.5,-76.65,81.5,15.93
306,satka,74,RU,1572663025,92,55.04,59.03,12.09,6.85
307,paramonga,100,PE,1572663025,93,-10.68,-77.82,61.21,12.21
308,marzuq,43,YE,1572663025,35,14.4,46.47,63.32,1.52
309,forio,9,IT,1572663025,82,40.73,13.86,66.99,2.24
310,plettenberg bay,0,ZA,1572663026,47,-34.05,23.37,67.05,5.93
311,saskylakh,57,RU,1572663026,98,71.97,114.09,-11.21,3.24
312,martil,4,MA,1572662820,64,35.62,-5.28,71.6,18.34
313,bull savanna,100,JM,1572663026,94,17.89,-77.59,70.43,3.44
314,nago,75,IT,1572662761,87,45.88,10.89,53.6,1.12
315,alenquer,20,BR,1572663027,94,-1.95,-54.74,77.0,3.36
316,palauig,67,PH,1572663027,65,15.44,119.9,84.16,6.2
317,kulhudhuffushi,64,MV,1572663027,71,6.62,73.07,82.33,3.62
318,luanda,75,AO,1572663028,83,-8.83,13.24,77.0,12.75
319,staroaleyskoye,100,RU,1572663028,49,51.01,82.0,37.13,5.64
320,iberia,100,PE,1572663028,80,-11.41,-69.49,74.08,2.1
321,det udom,40,TH,1572663028,83,14.9,105.08,78.8,3.36
322,menongue,21,AO,1572663028,51,-14.66,17.68,67.12,2.44
323,clyde river,1,CA,1572662958,78,70.47,-68.59,17.6,4.7
324,odessa,1,US,1572662876,26,31.85,-102.37,61.0,16.11
325,vogosca,40,BA,1572663029,100,43.9,18.35,37.4,2.24
326,zhangjiakou,100,CN,1572663029,89,40.77,114.88,41.85,4.07
327,yanaul,100,RU,1572663029,93,56.27,54.93,21.85,16.22
328,kuito,20,AO,1572663030,76,-12.38,16.94,61.25,4.92
329,kamien pomorski,90,PL,1572663030,93,53.97,14.77,43.0,12.75
330,vila do maio,0,CV,1572663030,78,15.13,-23.22,77.0,17.22
331,richards bay,100,ZA,1572663030,80,-28.77,32.06,70.92,30.24
332,nemuro,20,JP,1572662919,47,43.32,145.57,55.4,16.11
333,constitucion,90,MX,1572663031,59,23.99,-104.67,64.4,5.82
334,namioka,40,JP,1572663031,54,40.71,140.59,60.01,17.22
335,magistralnyy,100,RU,1572663031,59,56.17,107.45,31.53,6.02
336,hirado,55,JP,1572663032,64,33.32,129.49,75.0,3.36
337,kaabong,0,UG,1572663032,73,3.51,34.14,65.75,8.3
338,san jose,100,HN,1572663032,93,14.25,-87.96,62.76,7.27
339,acapulco,40,MX,1572663032,70,16.86,-99.88,84.2,6.93
340,kavaratti,6,IN,1572663032,77,10.57,72.64,81.37,8.68
341,paragominas,100,BR,1572663033,72,-3.0,-47.35,77.16,3.91
342,tutoia,100,BR,1572663033,95,-2.76,-42.27,72.82,4.79
343,ravenna,100,IT,1572663033,87,44.42,12.2,55.0,2.24
344,talnakh,100,RU,1572663033,65,69.49,88.39,3.2,15.66
345,maralal,94,KE,1572663034,79,1.1,36.7,61.14,8.32
346,vostok,100,RU,1572663034,88,46.45,135.83,28.63,15.68
347,tamale,0,GH,1572663034,71,9.4,-0.84,78.35,3.04
348,daru,76,PG,1572663035,59,-9.07,143.21,85.66,10.0
349,maku,75,IR,1572663035,50,39.29,44.45,51.8,26.4
350,bambous virieux,20,MU,1572663035,88,-20.34,57.76,73.0,5.82
351,bristol,76,GB,1572662744,81,51.45,-2.6,53.6,16.11
352,udachnyy,100,RU,1572663036,92,66.42,112.4,5.0,6.71
353,kita,75,JP,1572663036,55,35.76,139.74,70.0,8.05
354,baker city,1,US,1572663003,47,44.77,-117.83,37.0,3.42
355,jalu,0,LY,1572663036,90,29.03,21.55,63.09,10.18
356,morondava,1,MG,1572663037,48,-20.3,44.28,77.7,7.16
357,cordoba,0,AR,1572663037,38,-27.78,-67.24,78.71,7.18
358,preobrazheniye,0,RU,1572663037,29,42.9,133.91,50.05,8.37
359,baruun-urt,0,MN,1572663037,60,46.68,113.28,42.08,13.76
360,tamasopo,50,MX,1572663037,91,21.92,-99.39,50.29,1.19
361,dembi dolo,0,ET,1572663038,96,8.53,34.8,58.59,3.31
362,kimberley,99,ZA,1572663038,61,-28.74,24.76,58.46,11.45
363,bhalwal,48,PK,1572663038,46,32.26,72.91,72.21,8.21
364,bonthe,78,SL,1572663038,84,7.53,-12.5,77.18,3.29
365,toora-khem,71,RU,1572663039,80,52.47,96.11,34.07,1.25
366,porto novo,40,BR,1572662886,73,-23.68,-45.44,71.6,8.05
367,buala,100,SB,1572663039,80,-8.15,159.59,81.97,8.57
368,fairbanks,90,US,1572662782,100,64.84,-147.72,28.4,3.36
369,moose factory,90,CA,1572663039,80,51.26,-80.61,30.2,3.36
370,cabinda,97,AO,1572663040,84,-5.56,12.19,79.59,12.33
371,gisors,90,FR,1572663040,87,49.28,1.78,60.8,13.87
372,mount isa,34,AU,1572662833,28,-20.73,139.49,95.0,20.8
373,hermosillo,20,MX,1572663040,29,29.09,-110.96,78.01,4.7
374,magadi,40,IN,1572663040,88,12.96,77.22,82.99,2.24
375,jizan,76,SA,1572663041,83,16.89,42.56,80.6,3.36
376,the valley,20,AI,1572662953,75,18.22,-63.06,81.0,4.7
377,nanortalik,74,GL,1572663041,87,60.14,-45.24,32.92,2.62
378,calarasi,87,RO,1572663041,74,44.2,27.33,45.41,10.02
379,beira,90,ES,1572663042,100,43.2,-8.36,62.01,6.93
380,esperance,75,AU,1572663042,87,-33.86,121.89,57.2,14.99
381,buraydah,0,SA,1572663042,68,26.33,43.97,64.4,6.93
382,matagami,100,NG,1572663042,55,9.67,8.4,68.65,3.85
383,la macarena,88,CO,1572663042,86,2.18,-73.79,70.23,1.92
384,scortaru nou,70,RO,1572663043,66,45.32,27.6,41.97,7.54
385,yumen,59,CN,1572662914,18,40.29,97.04,53.1,8.32
386,uyar,100,RU,1572663043,85,55.81,94.33,44.37,7.27
387,rakovski,49,BG,1572663043,88,43.61,26.46,42.21,8.63
388,sterling,1,US,1572663044,65,39.0,-77.4,42.01,4.72
389,rio grande,100,BR,1572662769,89,-32.03,-52.1,69.01,4.0
390,paamiut,100,GL,1572662843,52,61.99,-49.67,34.41,7.07
391,hofn,100,IS,1572663044,79,64.25,-15.21,42.3,25.77
392,darnah,37,LY,1572663044,73,32.77,22.64,72.77,8.39
393,buta,92,CD,1572663045,95,2.79,24.73,68.74,1.16
394,kyshtovka,100,RU,1572663045,71,56.56,76.62,24.24,19.71
395,aykhal,100,RU,1572663045,92,65.95,111.51,5.0,6.71
396,xuddur,0,SO,1572663045,88,4.12,43.89,71.1,11.27
397,cherskiy,100,RU,1572662848,87,68.75,161.3,16.86,6.55
398,kieta,92,PG,1572663046,74,-6.22,155.63,84.65,14.07
399,hami,0,CN,1572663046,19,42.84,93.51,56.1,1.61
400,williston,1,US,1572663046,92,48.15,-103.62,35.6,9.33
401,grand-lahou,78,CI,1572663046,80,5.24,-5.0,80.1,6.08
402,njombe,14,TZ,1572663047,98,-9.34,34.77,55.08,3.78
403,saint-michel-des-saints,90,CA,1572663047,8,46.68,-73.92,33.01,1.01
404,nanchang,0,CN,1572663047,33,28.68,115.89,74.79,5.84
405,saurimo,47,AO,1572663047,93,-9.66,20.4,63.97,2.71
406,lumphat,95,KH,1572663048,69,13.5,106.97,83.8,4.03
407,erenhot,100,CN,1572663048,51,43.65,111.97,48.92,4.74
408,chadiza,10,ZM,1572663048,95,-14.06,32.43,62.2,6.76
409,ostrovnoy,100,RU,1572663048,92,68.05,39.51,9.19,15.48
410,khandyga,99,RU,1572663049,91,62.65,135.58,5.16,3.47
411,porosozero,65,RU,1572663049,95,62.72,32.71,18.66,3.6
412,tilichiki,100,RU,1572663049,95,60.47,166.1,29.3,7.74
413,deputatskiy,100,RU,1572663049,96,69.3,139.9,6.37,2.59
414,bojnurd,40,IR,1572663049,100,37.47,57.33,39.2,2.24
415,kahului,40,US,1572662842,65,20.89,-156.47,84.2,6.93
416,dukuhturi,100,ID,1572663050,47,-7.24,109.01,90.9,7.34
417,nouakchott,0,MR,1572663050,20,18.08,-15.98,73.4,10.29
418,harper,1,US,1572663050,70,30.3,-99.24,51.8,10.31
419,tongliao,100,CN,1572663051,23,43.61,122.27,50.25,11.05
420,meulaboh,100,ID,1572663051,85,4.14,96.13,78.4,11.21
421,camacupa,0,AO,1572663051,86,-12.02,17.48,63.57,4.05
422,taoudenni,0,ML,1572663051,28,22.68,-3.98,71.98,9.44
423,smithers,90,CA,1572663052,93,54.78,-127.17,39.2,3.36
424,middelburg,100,NL,1572663052,93,51.5,3.61,60.01,18.34
425,ternate,40,PH,1572663052,79,14.29,120.72,86.0,4.7
426,kloulklubed,75,PW,1572662941,74,7.04,134.26,86.0,5.82
427,tabuk,100,PH,1572663053,95,17.41,121.44,74.84,10.89
428,peleduy,94,RU,1572663053,81,59.63,112.75,16.52,2.21
429,ancud,20,CL,1572662895,93,-41.87,-73.83,39.2,4.7
430,nelson,72,CA,1572663053,73,49.49,-117.29,30.99,1.1
431,mitchell,90,US,1572662957,55,43.71,-98.03,39.2,13.87
432,bose,75,IT,1572663054,100,45.46,8.01,52.0,2.24
433,shalinskoye,99,RU,1572663054,76,55.72,93.76,45.61,11.72
434,los llanos de aridane,0,ES,1572663054,83,28.66,-17.92,71.6,12.75
435,wyndham,68,GB,1572663054,76,51.61,-3.54,53.6,19.46
436,mpika,100,ZM,1572663055,72,-11.84,31.4,63.34,4.65
437,pareora,53,NZ,1572663055,62,-44.49,171.21,73.99,3.0
438,saint george,75,GR,1572663044,93,39.45,22.34,59.0,6.51
439,olinda,75,AU,1572663055,88,-37.84,145.39,64.99,8.05
440,kumluca,3,TR,1572663056,57,36.37,30.29,58.91,4.16
441,anadyr,20,RU,1572663056,85,64.73,177.51,19.4,2.24
442,blagoyevo,100,RU,1572663056,90,63.37,47.92,19.9,3.4
443,richmond,75,CA,1572663056,93,49.16,-123.14,48.0,5.82
444,klaksvik,83,FO,1572663057,75,62.23,-6.59,44.6,17.22
445,balagansk,84,RU,1572663057,84,54.01,103.05,38.07,9.42
446,virginia beach,1,US,1572662880,93,36.85,-75.98,53.6,12.1
447,slupca,100,PL,1572663057,90,52.29,17.87,41.0,8.01
448,ouesso,100,CG,1572663058,95,1.61,16.05,70.18,1.28
449,kununurra,8,AU,1572663058,24,-15.77,128.74,100.4,5.82
450,millau,100,FR,1572663058,93,44.1,3.08,57.2,8.05
451,dongsheng,10,CN,1572663058,28,29.72,112.52,76.37,8.21
452,obra,0,IN,1572663058,58,24.47,82.99,75.42,3.38
453,lamar,1,US,1572663059,80,38.09,-102.62,30.2,4.7
454,osoyoos,75,CA,1572663059,69,49.03,-119.47,39.2,3.36
455,miri,100,NG,1572663059,42,10.31,9.75,72.07,2.8
456,savonlinna,90,FI,1572663059,79,61.87,28.88,28.4,3.36
457,yurimaguas,100,PE,1572663060,98,-5.9,-76.1,73.63,0.87
458,eyl,38,SO,1572663060,78,7.98,49.82,82.17,7.85
459,kibondo,47,TZ,1572663060,89,-3.59,30.72,60.51,1.3
460,muli,97,CN,1572663060,82,28.08,109.56,57.9,3.74
461,caravelas,26,BR,1572663061,94,-17.73,-39.27,71.69,3.69
462,illapel,0,CL,1572663061,47,-31.63,-71.17,47.19,2.8
463,pyrzyce,90,PL,1572663061,93,53.15,14.89,43.0,12.75
464,kaili,82,ID,1572663061,88,-3.46,120.21,67.91,2.89
465,pozo colorado,0,PY,1572663061,42,-23.49,-58.8,84.47,4.32
466,high river,75,CA,1572663062,35,50.58,-113.86,39.2,4.7
467,zhigalovo,75,RU,1572663062,71,54.81,105.15,30.34,3.18
468,sabang,100,PH,1572663062,81,13.8,121.11,84.0,5.99
469,pasni,0,PK,1572663062,55,25.26,63.48,79.47,2.55
470,taltal,0,CL,1572663063,81,-25.41,-70.49,53.56,3.47
471,burnie,100,AU,1572663063,99,-41.05,145.91,57.99,8.01
472,port macquarie,0,AU,1572663063,54,-31.43,152.91,84.2,23.04
473,bouna,0,CI,1572663063,76,9.27,-3.0,74.57,3.18
474,sale,100,AU,1572663064,90,-38.11,147.06,72.0,6.82
475,lima,40,PE,1572662940,88,-12.06,-77.04,64.4,11.41
476,sibu,75,MY,1572663015,88,2.29,111.83,78.8,5.82
477,whitehorse,90,CA,1572663064,100,60.72,-135.06,35.01,3.36
478,kolodenka,100,UA,1572663065,59,50.58,26.32,33.31,10.78
479,portland,1,US,1572662863,48,43.66,-70.25,44.01,4.7
480,roald,0,NO,1572663065,86,62.58,6.12,37.0,6.93
481,dauphin,90,CA,1572663066,86,51.15,-100.04,30.2,4.7
482,mehamn,100,NO,1572663066,78,71.03,27.85,26.1,16.44
483,guerrero negro,28,MX,1572663066,41,27.97,-114.04,68.47,9.19
484,qaqortoq,20,GL,1572663066,68,60.72,-46.03,30.2,1.12
485,ibiruba,0,BR,1572663067,82,-28.63,-53.09,71.4,12.28
486,toamasina,75,MG,1572663067,73,-18.17,49.38,73.4,18.34
487,ingham,56,AU,1572663067,51,-18.65,146.16,84.97,8.23
488,ishigaki,75,JP,1572663067,69,24.34,124.16,80.6,16.11
489,shimoda,75,JP,1572662986,63,34.7,138.93,66.2,17.22
490,khaniotis,99,GR,1572663068,100,40.0,23.58,55.99,3.0
491,tiznit,9,MA,1572663068,33,29.7,-9.73,65.66,1.97
492,sao filipe,0,CV,1572663068,70,14.9,-24.5,76.91,17.11
493,boa viagem,100,BR,1572663069,87,-5.13,-39.73,73.2,6.67
494,bowen,40,AU,1572663069,54,-20.01,148.25,86.0,14.99
495,sorland,100,NO,1572663069,73,67.67,12.69,36.95,18.88
496,makakilo city,20,US,1572663069,61,21.35,-158.09,84.2,5.82
497,phichit,9,TH,1572663069,94,16.44,100.37,89.01,5.82
498,petropavlovsk-kamchatskiy,90,RU,1572663070,93,53.05,158.65,44.6,26.84
499,codrington,90,AU,1572663070,53,-28.95,153.24,80.01,13.87
500,xingyi,99,CN,1572663070,75,24.19,102.82,65.48,1.92
501,japura,31,ID,1572663070,53,-0.42,102.29,92.08,1.39
502,hovd,75,NO,1572663070,93,63.83,10.7,42.01,2.24
503,nuuk,100,GL,1572663071,51,64.17,-51.74,35.6,4.7
504,sumbe,100,AO,1572663071,89,-11.2,13.84,75.49,4.9
505,severo-kurilsk,100,RU,1572663071,92,50.68,156.12,38.12,14.79
506,paonta sahib,40,IN,1572663072,88,30.44,77.62,64.4,3.36
507,torata,90,EC,1572663072,78,-3.6,-79.89,89.6,4.7
508,yilan,51,CN,1572663072,26,43.11,129.52,52.02,7.47
509,lyudinovo,99,RU,1572663072,96,53.86,34.45,31.89,5.95
510,urucui,12,BR,1572663073,55,-7.23,-44.56,78.24,1.19
511,port-gentil,99,GA,1572663073,81,-0.72,8.78,78.55,9.13
512,saint-francois,100,FR,1572663073,93,46.42,3.91,57.2,3.36
513,zaraza,22,VE,1572663073,91,9.35,-65.33,73.17,4.76
514,cairns,68,AU,1572663073,54,-16.92,145.77,89.01,12.75
515,turukhansk,100,RU,1572663074,93,65.8,87.96,22.05,10.85
516,singaraja,100,ID,1572663074,69,-8.11,115.08,82.67,2.37
517,kabalo,100,CD,1572663074,96,-6.05,26.92,67.28,2.71
518,chernyshevskiy,100,RU,1572663000,76,63.01,112.47,15.03,9.8
519,nushki,80,PK,1572663075,47,29.55,66.02,67.62,5.79
520,kharp,100,RU,1572663075,91,66.82,65.8,3.51,7.94
521,berekum,55,GH,1572663075,93,7.45,-2.58,70.61,2.46
522,rabo de peixe,40,PT,1572663076,88,37.8,-25.58,66.2,4.7
523,mustasaari,100,FI,1572663076,92,63.17,21.67,34.0,10.29
524,apiai,32,BR,1572663076,99,-24.51,-48.84,61.52,2.13
525,fernie,75,CA,1572663077,63,49.5,-115.06,26.6,2.24
526,angoche,100,MZ,1572663077,68,-16.23,39.91,77.95,8.23
527,chelno-vershiny,88,RU,1572663077,67,54.42,51.08,24.49,15.48
528,chumikan,89,RU,1572662892,58,54.72,135.31,21.33,21.72
529,ham lake,90,US,1572663078,76,45.25,-93.25,39.0,5.97
530,wagar,88,US,1572663078,87,31.44,-87.99,46.0,4.85
531,jorochito,9,BO,1572663078,65,-18.06,-63.43,78.8,5.82
532,shinuhayr,82,AM,1572663078,95,39.43,46.32,44.8,2.28
533,tocopilla,0,CL,1572663079,29,-22.09,-70.2,54.27,2.53
534,vaitape,77,PF,1572663079,79,-16.52,-151.75,81.32,10.45
535,ciempozuelos,40,ES,1572663079,87,40.16,-3.62,60.8,14.99
536,santa rosa de osos,75,CO,1572663080,93,6.65,-75.46,59.0,3.36
537,naze,100,NG,1572663080,95,5.43,7.07,74.05,0.87
538,verkhnevilyuysk,81,RU,1572663080,82,63.45,120.31,11.14,6.17
539,mayumba,100,GA,1572663081,87,-3.44,10.65,78.64,9.01
540,tezu,0,IN,1572663081,51,27.93,96.16,74.62,2.26
541,kunjah,40,PK,1572663081,82,32.53,73.97,62.6,6.93
542,yaounde,75,CM,1572662959,100,3.87,11.52,68.0,1.12
543,kalakamati,100,BW,1572663082,69,-20.59,27.31,66.33,10.85
544,brae,86,GB,1572662936,87,60.4,-1.35,48.2,18.34
545,leshukonskoye,64,RU,1572663082,95,64.9,45.76,18.19,2.73
546,nedryhayliv,79,UA,1572663082,95,50.83,33.88,31.89,5.95
547,west odessa,1,US,1572663083,26,31.84,-102.48,61.0,16.11
548,oranjemund,70,ZA,1572663083,66,-28.55,16.43,58.41,3.33
549,ylojarvi,20,FI,1572663083,86,61.56,23.6,33.8,8.05
550,cockburn town,0,TC,1572663083,73,21.46,-71.14,80.92,14.09
551,shingu,20,JP,1572663083,56,33.72,135.99,69.8,3.36
552,saint-leu,100,RE,1572663084,93,-21.15,55.28,73.4,12.75
553,bulgan,0,MN,1572663084,65,48.81,103.53,37.96,2.84
554,georgiyevka,87,RU,1572663084,74,52.25,40.45,26.82,10.2
555,honningsvag,93,NO,1572663084,70,70.98,25.97,34.12,26.35
556,pavlodar,90,KZ,1572663085,68,52.28,76.96,30.2,8.95
557,gao,26,ML,1572663085,15,16.28,-0.04,81.55,2.93
558,den helder,90,NL,1572663085,93,52.96,4.76,57.2,17.22
559,skjervoy,98,NO,1572662816,73,70.03,20.97,32.94,18.12
560,saint-joseph,90,FR,1572663085,93,43.56,6.97,61.0,5.66
561,shenjiamen,38,CN,1572662905,60,29.96,122.3,68.76,5.1
562,dukat,34,AL,1572663086,84,40.25,19.57,61.0,13.78
563,pocone,5,BR,1572663086,58,-16.26,-56.62,79.54,2.89
564,datong,100,CN,1572663086,68,40.09,113.3,47.05,4.76
565,hamilton,75,CA,1572662813,74,43.26,-79.87,37.99,4.7
566,fukue,40,JP,1572663087,48,35.03,136.69,75.0,8.05
